X: 5.379700  Y: 300.375671 
X: 5.391050  Y: 300.491760 
X: 5.402399  Y: 300.785065 
X: 5.413749  Y: 301.075836 
X: 5.425098  Y: 298.537170 
X: 5.436448  Y: 299.019135 
X: 5.447798  Y: 390.607910 
X: 5.459147  Y: 195.988831 
X: 5.470497  Y: 296.956390 
X: 5.481846  Y: 301.403900 
X: 5.493196  Y: 294.315033 
X: 5.504546  Y: 302.859222 
X: 5.515895  Y: 298.647064 
X: 5.527245  Y: 300.633209 
X: 5.538594  Y: 285.934326 
X: 5.549944  Y: 302.666779 
X: 5.561294  Y: 298.727203 
X: 5.572643  Y: 300.931610 
X: 5.583992  Y: 297.531677 
X: 5.595342  Y: 301.885437 
X: 5.606692  Y: 300.600250 
X: 5.618042  Y: 301.385529 
X: 5.629391  Y: 290.552887 
X: 5.640740  Y: 317.693237 
X: 5.652090  Y: 297.967896 
X: 5.663440  Y: 303.358307 
X: 5.674789  Y: 296.073242 
X: 5.686139  Y: 306.535461 
X: 5.697488  Y: 298.366882 
X: 5.708838  Y: 299.797607 
X: 5.720188  Y: 293.963867 
X: 5.731537  Y: 314.946442 
X: 5.742887  Y: 297.432953 
X: 5.754236  Y: 298.502838 
X: 5.765586  Y: 294.573700 
X: 5.776936  Y: 297.111725 
X: 5.788285  Y: 299.015839 
X: 5.799634  Y: 299.349457 
X: 5.810984  Y: 257.295135 
X: 5.822334  Y: 379.301453 
X: 5.833683  Y: 298.605591 
X: 5.845033  Y: 301.743042 
X: 5.856382  Y: 297.509338 
X: 5.867732  Y: 303.515839 
X: 5.879082  Y: 299.719849 
X: 5.890431  Y: 300.223022 
X: 5.901781  Y: 294.541046 
X: 5.913130  Y: 307.793152 
X: 5.924480  Y: 300.012268 
X: 5.935830  Y: 298.788116 
X: 5.947179  Y: 299.784912 
X: 5.958529  Y: 297.466370 
X: 5.969878  Y: 300.125977 
X: 5.981228  Y: 299.578003 
X: 5.992578  Y: 274.226685 
X: 6.003927  Y: 319.227448 
X: 6.015276  Y: 299.313263 
X: 6.026626  Y: 298.559448 
X: 6.037976  Y: 298.255920 
X: 6.049325  Y: 296.730988 
X: 6.060675  Y: 302.003113 
X: 6.072024  Y: 299.346283 
X: 6.083374  Y: 298.345459 
X: 6.094724  Y: 294.241577 
X: 6.106073  Y: 302.751251 
X: 6.117423  Y: 298.920807 
X: 6.128772  Y: 305.191071 
X: 6.140122  Y: 297.422882 
X: 6.151472  Y: 299.550781 
X: 6.162821  Y: 299.677124 
X: 6.174170  Y: 269.087738 
X: 6.185520  Y: 324.660492 
X: 6.196870  Y: 299.792542 
X: 6.208220  Y: 298.396240 
X: 6.219569  Y: 299.953857 
X: 6.230918  Y: 296.738556 
X: 6.242268  Y: 300.413696 
X: 6.253618  Y: 299.555176 
X: 6.264967  Y: 299.808777 
X: 6.276317  Y: 295.467438 
X: 6.287666  Y: 299.220612 
X: 6.299016  Y: 299.602356 
X: 6.310366  Y: 297.338898 
X: 6.321715  Y: 298.924164 
X: 6.333065  Y: 299.452118 
X: 6.344414  Y: 299.313202 
X: 6.355764  Y: 297.716187 
X: 6.367114  Y: 287.030304 
X: 6.378463  Y: 301.495087 
X: 6.389812  Y: 300.689667 
X: 6.401162  Y: 303.242767 
X: 6.412512  Y: 301.226715 
X: 6.423862  Y: 299.951538 
X: 6.435211  Y: 300.416504 
X: 6.446560  Y: 307.001251 
X: 6.457910  Y: 306.080444 
X: 6.469260  Y: 299.979797 
X: 6.480609  Y: 300.109314 
X: 6.491959  Y: 299.995239 
X: 6.503308  Y: 300.245239 
X: 6.514658  Y: 299.489960 
X: 6.526008  Y: 298.776337 
X: 6.537357  Y: 257.517517 
X: 6.548707  Y: 312.357056 
X: 6.560056  Y: 296.371216 
X: 6.571406  Y: 299.345184 
X: 6.582756  Y: 292.292419 
X: 6.594105  Y: 298.480225 
X: 6.605454  Y: 299.156525 
X: 6.616804  Y: 300.165466 
X: 6.628154  Y: 283.568726 
X: 6.639503  Y: 298.634735 
X: 6.650853  Y: 299.105804 
X: 6.662202  Y: 300.073730 
X: 6.673552  Y: 298.018555 
X: 6.684902  Y: 300.493713 
X: 6.696251  Y: 300.617859 
X: 6.707601  Y: 299.344147 
X: 6.718950  Y: 270.904510 
X: 6.730300  Y: 296.526886 
X: 6.741650  Y: 301.336823 
X: 6.752999  Y: 302.709930 
X: 6.764349  Y: 303.048370 
X: 6.775698  Y: 305.527344 
X: 6.787048  Y: 299.615295 
X: 6.798398  Y: 299.527496 
X: 6.809747  Y: 310.205872 
X: 6.821096  Y: 314.364075 
X: 6.832446  Y: 300.087891 
X: 6.843796  Y: 299.776001 
X: 6.855145  Y: 299.672913 
X: 6.866495  Y: 300.090393 
X: 6.877844  Y: 298.002808 
X: 6.889194  Y: 298.412994 
X: 6.900544  Y: 236.445938 
X: 6.911893  Y: 260.263184 
X: 6.923243  Y: 299.640381 
X: 6.934592  Y: 301.289215 
X: 6.945942  Y: 298.862701 
X: 6.957292  Y: 302.670197 
X: 6.968641  Y: 299.807068 
X: 6.979990  Y: 299.882996 
X: 6.991340  Y: 298.760223 
X: 7.002690  Y: 306.513367 
X: 7.014040  Y: 298.931000 
X: 7.025389  Y: 300.478912 
X: 7.036738  Y: 298.147461 
X: 7.048088  Y: 300.393036 
X: 7.059438  Y: 299.840149 
X: 7.070787  Y: 299.340759 
X: 7.082137  Y: 311.856812 
X: 7.093486  Y: 322.512543 
X: 7.104836  Y: 301.186432 
X: 7.116186  Y: 303.314056 
